Scheme,SchemeOrder,Solver,Resolution,Time,FILE
teno,5,ausmup,512,0,data/teno_5_ausmup_512_0.vti
teno,5,hll,512,0,data/teno_5_hll_512_0.vti
teno,5,hllc,512,0,data/teno_5_hllc_512_0.vti
teno,5,roe,512,0,data/teno_5_roe_512_0.vti
teno,5,slau2,512,0,data/teno_5_slau2_512_0.vti
teno,7,ausmup,512,0,data/teno_7_ausmup_512_0.vti
teno,7,hll,512,0,data/teno_7_hll_512_0.vti
teno,7,hllc,512,0,data/teno_7_hllc_512_0.vti
teno,7,roe,512,0,data/teno_7_roe_512_0.vti
teno,7,slau2,512,0,data/teno_7_slau2_512_0.vti
wenoz,5,ausmup,512,0,data/wenoz_5_ausmup_512_0.vti
wenoz,5,hll,512,0,data/wenoz_5_hll_512_0.vti
wenoz,5,hllc,512,0,data/wenoz_5_hllc_512_0.vti
wenoz,5,roe,512,0,data/wenoz_5_roe_512_0.vti
wenoz,5,slau2,512,0,data/wenoz_5_slau2_512_0.vti
wenoz,7,ausmup,512,0,data/wenoz_7_ausmup_512_0.vti
wenoz,7,hll,512,0,data/wenoz_7_hll_512_0.vti
wenoz,7,hllc,512,0,data/wenoz_7_hllc_512_0.vti
wenoz,7,roe,512,0,data/wenoz_7_roe_512_0.vti
wenoz,7,slau2,512,0,data/wenoz_7_slau2_512_0.vti
teno,5,ausmup,512,1,data/teno_5_ausmup_512_1.vti
teno,5,hll,512,1,data/teno_5_hll_512_1.vti
teno,5,hllc,512,1,data/teno_5_hllc_512_1.vti
teno,5,roe,512,1,data/teno_5_roe_512_1.vti
teno,5,slau2,512,1,data/teno_5_slau2_512_1.vti
teno,7,ausmup,512,1,data/teno_7_ausmup_512_1.vti
teno,7,hll,512,1,data/teno_7_hll_512_1.vti
teno,7,hllc,512,1,data/teno_7_hllc_512_1.vti
teno,7,roe,512,1,data/teno_7_roe_512_1.vti
teno,7,slau2,512,1,data/teno_7_slau2_512_1.vti
wenoz,5,ausmup,512,1,data/wenoz_5_ausmup_512_1.vti
wenoz,5,hll,512,1,data/wenoz_5_hll_512_1.vti
wenoz,5,hllc,512,1,data/wenoz_5_hllc_512_1.vti
wenoz,5,roe,512,1,data/wenoz_5_roe_512_1.vti
wenoz,5,slau2,512,1,data/wenoz_5_slau2_512_1.vti
wenoz,7,ausmup,512,1,data/wenoz_7_ausmup_512_1.vti
wenoz,7,hll,512,1,data/wenoz_7_hll_512_1.vti
wenoz,7,hllc,512,1,data/wenoz_7_hllc_512_1.vti
wenoz,7,roe,512,1,data/wenoz_7_roe_512_1.vti
wenoz,7,slau2,512,1,data/wenoz_7_slau2_512_1.vti
teno,5,ausmup,512,2,data/teno_5_ausmup_512_2.vti
teno,5,hll,512,2,data/teno_5_hll_512_2.vti
teno,5,hllc,512,2,data/teno_5_hllc_512_2.vti
teno,5,roe,512,2,data/teno_5_roe_512_2.vti
teno,5,slau2,512,2,data/teno_5_slau2_512_2.vti
teno,7,ausmup,512,2,data/teno_7_ausmup_512_2.vti
teno,7,hll,512,2,data/teno_7_hll_512_2.vti
teno,7,hllc,512,2,data/teno_7_hllc_512_2.vti
teno,7,roe,512,2,data/teno_7_roe_512_2.vti
teno,7,slau2,512,2,data/teno_7_slau2_512_2.vti
wenoz,5,ausmup,512,2,data/wenoz_5_ausmup_512_2.vti
wenoz,5,hll,512,2,data/wenoz_5_hll_512_2.vti
wenoz,5,hllc,512,2,data/wenoz_5_hllc_512_2.vti
wenoz,5,roe,512,2,data/wenoz_5_roe_512_2.vti
wenoz,5,slau2,512,2,data/wenoz_5_slau2_512_2.vti
wenoz,7,ausmup,512,2,data/wenoz_7_ausmup_512_2.vti
wenoz,7,hll,512,2,data/wenoz_7_hll_512_2.vti
wenoz,7,hllc,512,2,data/wenoz_7_hllc_512_2.vti
wenoz,7,roe,512,2,data/wenoz_7_roe_512_2.vti
wenoz,7,slau2,512,2,data/wenoz_7_slau2_512_2.vti
